,ynn,red,sparsity,closest
0,0.9946666666666667,10,11,150
1,1.0,51,57,150
2,0.9973333333333333,83,87,120
3,0.9946666666666667,25,29,150
4,0.996,1,2,150
5,0.9973333333333333,0,0,150
6,0.9946666666666667,0,0,150
7,0.9946666666666667,58,67,150
8,1.0,56,56,150
9,0.996,14,16,150
10,1.0,5,6,150
11,0.9946666666666667,16,16,150
12,0.9973333333333333,0,0,150
13,0.9946666666666667,7,8,150
14,0.9946666666666667,6,6,150
15,0.9973333333333333,8,10,150
16,0.9973333333333333,0,1,150
17,0.9973333333333333,55,58,150
18,1.0,53,54,150
19,0.996,0,0,150
20,0.9946666666666667,41,41,138
21,0.9946666666666667,49,49,146
